t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z
6.7190,-0.013290,0.455854,-0.226830,-0.256289,-0.021321,-0.227365,0.535486,10.641431,0.534861,-0.013290,0.551854,-0.091830,-0.168603,0.248139,0.000000,-0.068338,0.038709,0.000000,0.000000,0.000000,0.000000
6.7690,-0.016714,0.457776,-0.226830,-0.255910,-0.020950,-0.227343,0.535158,10.573986,0.534715,-0.016714,0.553776,-0.091830,-0.169594,0.247463,0.000000,-0.068640,0.038172,0.000000,0.000000,0.000000,0.000000
6.8190,-0.020154,0.459671,-0.226830,-0.255697,-0.020660,-0.226949,0.534975,10.602426,0.534681,-0.020154,0.555671,-0.091830,-0.170582,0.246783,0.000000,-0.068938,0.037631,0.000000,0.000000,0.000000,0.000000
6.8690,-0.023608,0.461539,-0.226830,-0.255402,-0.020409,-0.227307,0.534793,10.469573,0.534617,-0.023608,0.557539,-0.091830,-0.171568,0.246099,0.000000,-0.069231,0.037089,0.000000,0.000000,0.000000,0.000000
6.9190,-0.027077,0.463380,-0.226830,-0.255039,-0.020068,-0.227251,0.534499,10.411358,0.534413,-0.027077,0.559380,-0.091830,-0.172550,0.245411,0.000000,-0.069520,0.036544,0.000000,0.000000,0.000000,0.000000
6.9690,-0.030560,0.465193,-0.226830,-0.254639,-0.019651,-0.227310,0.534121,10.315169,0.534093,-0.030560,0.561193,-0.091830,-0.173530,0.244719,0.000000,-0.069805,0.035997,0.000000,0.000000,0.000000,0.000000
7.0190,-0.034057,0.466980,-0.226830,-0.254383,-0.019443,-0.227324,0.533995,10.276031,0.533993,-0.034057,0.562980,-0.091830,-0.174506,0.244024,0.000000,-0.070086,0.035447,0.000000,0.000000,0.000000,0.000000
7.0690,-0.037568,0.468738,-0.226830,-0.253991,-0.019056,-0.227304,0.533650,10.207037,0.533643,-0.037568,0.564738,-0.091830,-0.175480,0.243324,0.000000,-0.070362,0.034896,0.000000,0.000000,0.000000,0.000000
7.1190,-0.041093,0.470469,-0.226830,-0.253765,-0.018755,-0.226951,0.533450,10.226807,0.533409,-0.041093,0.566469,-0.091830,-0.176451,0.242621,0.000000,-0.070634,0.034342,0.000000,0.000000,0.000000,0.000000
7.1690,-0.044632,0.472172,-0.226830,-0.253355,-0.018335,-0.227018,0.533069,10.129088,0.532961,-0.044632,0.568172,-0.091830,-0.177418,0.241915,0.000000,-0.070901,0.033786,0.000000,0.000000,0.000000,0.000000
7.2190,-0.048183,0.473848,-0.226830,-0.253042,-0.018044,-0.227328,0.532846,10.000709,0.532640,-0.048183,0.569848,-0.091830,-0.178383,0.241204,0.000000,-0.071164,0.033228,0.000000,0.000000,0.000000,0.000000
7.2690,-0.051748,0.475495,-0.226830,-0.252804,-0.017813,-0.227081,0.532707,10.023263,0.532373,-0.051748,0.571495,-0.091830,-0.179345,0.240490,0.000000,-0.071423,0.032668,0.000000,0.000000,0.000000,0.000000
7.3190,-0.055325,0.477115,-0.226830,-0.252407,-0.017369,-0.226937,0.532311,9.971232,0.531816,-0.055325,0.573115,-0.091830,-0.180303,0.239772,0.000000,-0.071678,0.032106,0.000000,0.000000,0.000000,0.000000
